id,URL,headline,author,date
0,https://www.theverge.com/2022/9/11/23347714/elden-ring-stream-music-soundtrack-spotify-apple-music-youtube-fromsoftware,"Now you can stream Elden Ring’s soundtrack on Spotify, Apple Music, and YouTube","Emma Roth
","September 11
"
1,https://www.theverge.com/2022/9/11/23347199/matternet-delivery-drone-model-m2-design-approved-faa,Matternet’s delivery drone design has been approved by the FAA,"Emma Roth
","September 11
"
2,https://www.theverge.com/2022/9/7/23341368/apple-iphone-14-dual-esim-no-physical-sim,The iPhone 14 won’t have a SIM tray in the US,"Nathan Edwards
","September 10
"
3,https://www.theverge.com/2022/9/10/23345904/comcast-2-gig-speeds-rolling-out-symmetrical-broadband-cable,Comcast says 2-gig speeds are rolling out now to ‘millions’,"Emma Roth
","September 10
"
4,https://www.theverge.com/2022/9/10/23346125/ubisoft-forward-assassins-creed-mirage-mario-rabbids,All the best from the Ubisoft Forward event,"Ash Parrish
",
5,https://www.theverge.com/2022/9/10/23340923/assassins-creed-mirage-baghdad-2023-japan-mobile,"Ubisoft announces new Assassin’s Creed games set in Baghdad, Japan, and more","Andrew Webster
","September 10
"
6,https://www.theverge.com/2022/9/10/23346053/the-mandalorian-s3-trailer-star-wars-disney-plus,The Mandalorian season three teaser trailer collects all of our old friends,"Emma Roth
Richard Lawler
","September 10
"
7,https://www.theverge.com/2022/9/10/23346019/andor-trailer-star-wars-spinoff-rogue-one-disney-plus-premiere,Latest Andor trailer gives us a glimpse at the Star Wars spinoff ahead of its premiere,"Emma Roth
","September 10
"
8,https://www.theverge.com/23320893/apple-airpods-2-3-pro-max-which-to-buy-price-specs,Here’s how the new AirPods Pro compare to the rest of Apple’s AirPods lineup,"Sheena Vasani
","September 10
"
9,https://www.voxmedia.com/careers,"We're building great things, and we need your talent.",,
10,https://www.theverge.com/good-deals/2022/9/10/23344682/apple-ipad-mini-2021-macbook-pro-m2-samsung-frame-tv-amazon-fire-stick-4k-razer-chair-deal-sale,Apple’s latest iPad Mini is $100 off right now at Amazon and Best Buy,"Alice Newcome-Beill
","September 10
"
11,https://www.theverge.com/23320405/apple-iphone-14-pro-max-always-on-display-screen-feature,"The iPhone 14 Pro’s always-on display, explained","Cameron Faulkner
","September  9
"
12,https://www.theverge.com/2022/9/10/23345777/google-pixel-foldable-phone-pro-tablet-android-13-code-rumors,Google Pixel foldable and a ‘Pro’ tablet hinted at in Android 13 code,"Emma Roth
","September 10
"
13,https://www.theverge.com/2022/9/7/23341577/applecare-plus-unlimited-iphone-mac-ipad-airpods-watch-repairs,Klutzes rejoice: AppleCare Plus now covers unlimited repairs,"Mitchell Clark
","September  9
"
14,https://www.theverge.com/2022/9/9/23345286/elon-musk-twitter-third-termination-notice-letter-deal-acquisition,Elon Musk sends yet another notice trying to terminate the Twitter deal,"Jay Peters
Mitchell Clark
","September  9
"
15,https://www.theverge.com/2022/9/9/23345067/valve-steam-deck-repair-center-fix,Valve now has repair centers that can fix your Steam Deck,"Jay Peters
","September  9
"
16,https://www.theverge.com/2022/9/9/23343459/roblox-age-guidelines-metaverse-ads-developer-conference-announcements,Roblox is ready to grow up,"Mia Sato
","September  9
"
17,https://www.theverge.com/2022/9/9/23345000/icloud-shared-photo-library-delayed-ios-16,iCloud Shared Photo Library won’t launch with iOS 16,"Mitchell Clark
",
18,https://www.theverge.com/2022/9/9/23345058/disney-marvel-games-showcase-d23-captain-america-tron-black-panther,The biggest announcements and trailers from Disney and Marvel’s games showcase,"Jay Peters
","September  9
"
19,https://www.theverge.com/2022/9/9/23344587/apple-iphone-14-pro-event-podcast-roundtable-vergecast,Vergecast: iPhone 14 event and our first impressions,"Andrew Marino
Liam James
","September  9
"
20,https://www.polygon.com/23344824/reigen-arataka-toby-fox-fan-fic-undertale-sans-tumblr-sexyman,"Sans from Undertale won the Tumblr Sexyman poll, and I haven’t known peace since","Ana Diaz
","September  9
"
21,https://www.theverge.com/2022/9/9/23344560/instagram-reposting-share-retweet-feature,Instagram begins testing ‘reposts’,"Jasmine Hicks
","September  9
"
22,https://www.theverge.com/2022/9/9/23342840/logitech-webcam-logi-capture-tune-g-hub-software-m2-m1-mac,Logitech’s webcam software is a mess,"Cameron Faulkner
","September  9
"
23,https://www.theverge.com/2022/9/9/23344694/apple-airpods-personalized-spatial-audio-sony-ear-scanning,Apple’s personalized spatial audio trick is really a Sony idea,"Chris Welch
","September  9
"
24,https://www.theverge.com/2022/9/9/23344834/semiconductor-joe-biden-ohio-intel-gelsinger-chips-science-subsidies,President Joe Biden speaks after groundbreaking for Intel’s $20 billion semiconductor plant,"Makena Kelly
","September  9
"
25,https://www.theverge.com/2022/9/9/23344749/interview-with-the-vampire-trailer-anne-rice,Check out Interview with the Vampire’s newest trailer,"Ash Parrish
","September  9
"
26,https://www.theverge.com/2022/9/8/23320934/sony-playstation-5-ps5-console-restock-public-queue-availability-inventory-check,You can still get a PlayStation 5 bundle from Sony and Walmart without standing in line,"Sheena Vasani
","September  9
"
27,https://www.theverge.com/2022/9/9/23344611/google-chromecast-1080p-design-leak,Google’s HD Chromecast will probably look a lot like the 4K one,"Mitchell Clark
","September  9
"
28,https://www.theverge.com/2022/9/9/23344306/apple-watch-series-8-emergency-health-heart-monitor,"In Apple’s world, you’ll die without its watch","Nicole Wetsman
","September  9
"
29,https://www.theverge.com/23344595/philips-hue-apple-homekit-connect-how-to,How to connect Philips Hue with Apple HomeKit,"Jennifer Pattison Tuohy
","September  9
"
30,https://www.theverge.com/2022/9/9/23344263/intel-arc-graphics-cards-desktop-gaming-gpu-specs,Intel reveals the specs of its new Arc graphics cards,"Alice Newcome-Beill
",
31,https://www.theverge.com/23320607/iphone-14-plus-pro-max-preorder-buy-price-release-date-apple,How to preorder the iPhone 14,"Cameron Faulkner
","September  9
"
32,https://www.theverge.com/2022/9/9/23344441/quentin-tarantino-pulp-fiction-nft-miramax-lawsuit-settled,Quentin Tarantino settles NFT lawsuit with Miramax,"Adi Robertson
","September  9
"
33,https://www.theverge.com/2022/8/23/23318956/acer-chromebook-vero-514-eco-conscious-laptop-recycling,Acer’s Vero 514 brings its ‘eco-conscious’ concept to a Chromebook,"Mitchell Clark
","September  9
"
34,https://www.theverge.com/2022/9/9/23344547/call-of-duty-next-activision-warzone-2-modern-warfare-2,Call of Duty Next event will showcase the future of the franchise,"Ash Parrish
","September  9
"
35,https://www.theverge.com/2022/9/8/23343336/apple-tim-cook-imessage-blue-green-bubbles-texting-rcs,Tim Cook revealed the real reason Apple won’t fix green bubbles,"Jay Peters
","September  8
"
36,https://www.theverge.com/2022/9/9/23344349/lausd-warned-ransomware-threat-trickbot,LA school district was warned of ransomware threat before recent shutdown,"Corin Faife
","September  9
"
37,https://www.theverge.com/23344325/chromebook-chrome-os-android-app-uninstall-how-to,How to uninstall apps from a Chromebook,"Monica Chin
","September  9
"
38,https://www.theverge.com/good-deals/2022/9/9/23343420/samsung-galaxy-buds-2-pro-govee-dreamview-g1-pro-gaming-light-samsung-m8-smart-monitor-deal-sale,Samsung’s new Galaxy Buds 2 Pro are $50 off,"Sheena Vasani
","September  9
"
